Scenario,Epoch,TrainAcc,TestAcc,Loss,CommFwdBytes,CommBwdBytes,ClientTimeFwd,ClientTimeBwd,ServerTimeFwd,ServerTimeBwd,CommTimeWall,TotalTime,PeakGPUMemMB
Std_1_5,11,35.9760,36.3200,2.4489,1638400000,1638400000,4.2423,8.3405,4.5760,5.8162,3.0825,26.0574,1059.35
Std_1_5,12,38.0780,38.0100,2.3510,1638400000,1638400000,3.7386,8.2808,4.0317,6.0769,2.9525,25.0805,1059.35
Std_1_5,13,39.9140,37.5500,2.2717,1638400000,1638400000,3.9393,8.2323,4.2610,5.4561,2.9904,24.8791,1059.35
Std_1_5,14,41.9840,40.6900,2.1828,1638400000,1638400000,3.7359,8.2545,4.0421,5.7770,2.9250,24.7344,1059.35
Std_1_5,15,43.1360,40.5400,2.1183,1638400000,1638400000,3.6911,8.2833,3.9998,6.3359,2.9357,25.2457,1059.35
Std_1_5,16,44.8640,42.7100,2.0474,1638400000,1638400000,4.1168,8.2387,4.4381,5.6475,3.0579,25.4991,1059.35
Std_1_5,17,45.8620,43.4700,1.9935,1638400000,1638400000,3.7082,8.2794,4.0004,6.1221,2.9406,25.0507,1059.35
Std_1_5,18,47.6540,44.8600,1.9290,1638400000,1638400000,3.7614,8.2543,4.0602,5.7606,2.8892,24.7256,1059.35
Std_1_5,19,48.7740,45.0800,1.8701,1638400000,1638400000,3.7821,8.2639,4.0887,6.0708,2.9756,25.1812,1059.35
Std_1_5,20,50.2160,47.2300,1.8158,1638400000,1638400000,4.2799,8.2455,4.6261,5.5505,3.0561,25.7581,1059.35
Std_1_5,21,50.9000,47.2900,1.7781,1638400000,1638400000,4.3320,8.2321,4.6791,5.4291,3.0816,25.7538,1059.35
Std_1_5,22,52.2000,48.4400,1.7297,1638400000,1638400000,3.8214,8.2319,4.1256,5.4571,2.9575,24.5935,1059.35
Std_1_5,23,53.1620,48.1100,1.6908,1638400000,1638400000,3.7233,8.2559,4.0157,5.7766,2.9877,24.7592,1059.35
Std_1_5,24,54.1020,47.3200,1.6479,1638400000,1638400000,3.9173,8.2285,4.2168,5.7668,2.9871,25.1165,1059.35
Std_1_5,25,55.1760,48.9500,1.6159,1638400000,1638400000,4.1422,8.2827,4.4823,5.7449,3.0311,25.6832,1059.35
Std_1_5,26,55.7920,49.3200,1.5720,1638400000,1638400000,4.2136,8.2554,4.5522,5.4649,3.0882,25.5743,1059.35
Std_1_5,27,56.7660,50.3500,1.5305,1638400000,1638400000,3.9957,8.3294,4.3178,5.8204,3.0061,25.4695,1059.35
Std_1_5,28,57.3720,50.9600,1.5040,1638400000,1638400000,3.8822,8.2794,4.1997,5.9365,2.9941,25.2919,1059.35
Std_1_5,29,58.3940,52.4500,1.4754,1638400000,1638400000,3.7260,8.2595,4.0353,6.3133,2.9094,25.2434,1059.35
Std_1_5,30,58.8320,50.4600,1.4435,1638400000,1638400000,3.7536,8.2852,4.0661,5.8841,2.9698,24.9588,1059.35
Std_1_5,31,59.5900,51.8800,1.4124,1638400000,1638400000,3.9415,8.2277,4.2570,6.0294,2.9533,25.4089,1059.35
Std_1_5,32,60.2720,52.3300,1.3858,1638400000,1638400000,4.0615,8.2874,4.3915,5.5015,3.0603,25.3023,1059.35
Std_1_5,33,60.8800,51.6900,1.3597,1638400000,1638400000,3.8797,8.3014,4.1874,5.7753,3.0205,25.1644,1059.35
Std_1_5,34,61.6440,52.3100,1.3333,1638400000,1638400000,4.1367,8.2513,4.4693,5.7369,3.0225,25.6167,1059.35
Std_1_5,35,62.4020,53.5200,1.3081,1638400000,1638400000,3.7294,8.2403,4.0352,5.8118,2.9307,24.7475,1059.35
Std_1_5,36,63.1260,54.8800,1.2766,1638400000,1638400000,3.8288,8.2410,4.1381,5.4933,3.0125,24.7137,1059.35
Std_1_5,37,63.5260,54.1900,1.2544,1638400000,1638400000,3.7280,8.2926,4.0355,5.6381,2.9341,24.6283,1059.35
Std_1_5,38,64.3200,54.7400,1.2283,1638400000,1638400000,3.7114,8.2551,4.0134,6.1656,2.9730,25.1185,1059.35
Std_1_5,39,64.8320,52.9000,1.2139,1638400000,1638400000,3.8968,8.2046,4.2257,5.4148,2.9655,24.7074,1059.35
Std_1_5,40,65.1480,55.7000,1.1883,1638400000,1638400000,4.1572,8.2742,4.4923,5.7594,3.0134,25.6966,1059.35
Std_1_5,41,65.9960,53.6400,1.1566,1638400000,1638400000,3.9426,8.2447,4.2633,5.5194,3.0107,24.9807,1059.35
Std_1_5,42,66.4740,55.2000,1.1460,1638400000,1638400000,3.7015,8.1751,3.9947,5.7143,2.9377,24.5234,1059.35
Std_1_5,43,66.9500,53.7800,1.1217,1638400000,1638400000,3.9366,8.2506,4.2563,5.5644,2.9858,24.9938,1059.35
Std_1_5,44,67.5280,55.1500,1.1017,1638400000,1638400000,3.8722,8.2576,4.1826,5.4819,2.9547,24.7489,1059.35
Std_1_5,45,67.7200,54.9200,1.0956,1638400000,1638400000,3.9308,8.2297,4.2559,5.4307,2.9727,24.8198,1059.35
Std_1_5,46,68.6460,57.4100,1.0640,1638400000,1638400000,3.7849,8.2607,4.0924,5.7648,2.9694,24.8721,1059.35
Std_1_5,47,68.8980,54.2800,1.0491,1638400000,1638400000,3.8100,8.2349,4.1110,5.7792,2.9943,24.9294,1059.35
